Serial Number,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPUOMLLLRHIGFBB28CC,28.0,10.97,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,,
RPQOMLLLRHIGFBB87CC,29.0,28.29,共有部份,鋼筋混凝土造,83年4月1日,七層,,
RPPOMLLLRHIGFBB77CC,17.0,2.33,共有部份,鋼筋混凝土造,95年6月26日,四層,,
RPPOMLLLRHIGFBB77CC,17.0,1.85,共有部份,鋼筋混凝土造,95年6月26日,四層,,
RPPOMLLLRHIGFBB77CC,17.0,2.82,共有部份,鋼筋混凝土造,95年6月26日,四層,,
RPPOMLLLRHIGFBB77CC,17.0,13.2,共有部份,鋼筋混凝土造,95年6月26日,四層,,
RPSNMLLLRHIGFCB08CC,29.0,77.56,住家用,鋼筋混凝土造,84年2月15日,十六層,,
RPSNMLLLRHIGFCB08CC,29.0,26.4,共用部份,鋼筋混凝土造,84年2月15日,十六層,,
RPSNMLLLRHIGFCB08CC,29.0,16.89,共用部份,鋼筋混凝土造,84年2月15日,十六層,,
RPVNMLLLRHIGFCB38CC,27.0,62.14,住家用,鋼筋混凝土造,85年12月14日,十四層,,
RPVNMLLLRHIGFCB38CC,27.0,19.03,共用部份,鋼筋混凝土造,85年12月14日,十四層,,
RPUNMLLLRHIGFCB28CC,25.0,101.32,住家用,鋼筋混凝土造,87年9月22日,九層,,
RPXNMLLLRHIGFCB58CC,28.0,164.3,人行道、店舖、辦公室,鋼筋混凝土造,84年12月29日,十四層,,
RPUNMLLLRHIGFCB28CC,25.0,60.16,共用部份,鋼筋混凝土造,87年9月22日,九層,,
RPXNMLLLRHIGFCB58CC,28.0,40.0,共用部份,鋼筋混凝土造,84年12月29日,十四層,,
RPWNMLLLRHIGFCB48CC,25.0,32.91,辦公室,鋼筋混凝土造,87年11月3日,十四層,,
RPPOMLLLRHIGFCB87CC,41.0,214.87,住商用,鋼筋混凝土造,71年8月6日,三層,,
RPWNMLLLRHIGFCB48CC,25.0,6.7,共用部份,鋼筋混凝土造,87年11月3日,十四層,,
RPWNMLLLRHIGFCB48CC,25.0,11.62,共用部份,鋼筋混凝土造,87年11月3日,十四層,,
RPRNMLLLRHIGFCB97CC,5.0,13.28,見其他登記事項,鋼筋混凝土造,108年2月26日,五層,,
RPRNMLLLRHIGFCB97CC,5.0,12.43,本共有部份係依使用執照之建築概要表記載項目有：人行道、電信室、梯廳、直通樓梯、停車空間、管道間、管委會空間、樓梯間、機械室等九項。,鋼筋混凝土造,108年2月26日,五層,,
RPQNMLLLRHIGFCB87CC,14.0,53.12,住家用,鋼筋混凝土造,99年1月12日,二十六層,,
RPQNMLLLRHIGFCB87CC,14.0,52.65,本共有部分之項目有防空避難室兼停車空間、停車空間、發電機室、門廳、消防機房、垃圾處理空間、昇降設備、梯間、水箱、機房、排煙室、梯廳、進氣管道、排氣管道、特別安全梯、車道、污水機房、電信管道、給水管道、弱電管道、電信室、蓄水池、機械室、台電配電室、泳池噴灌機房、社區游泳池、儲藏室、機坑、防災中心、走廊、中繼水箱、中繼機械室、避難平台等三十二項,鋼筋混凝土造,99年1月12日,二十六層,,
RPSOMLLLRHIGFCB18CC,30.0,18.34,住家用,鋼筋混凝土造,83年1月20日,七層,,
RPSOMLLLRHIGFCB18CC,30.0,21.2,共用部份,鋼筋混凝土造,83年1月20日,七層,,
RPPOMLLLRHIGFDB97CC,49.0,98.5,住家用,加強磚造,64年3月5日,二層,,
RPROMLLLRHIGFDB18CC,1.0,17.62,住家用,鋼筋混凝土造,111年10月20日,四層,,
RPROMLLLRHIGFDB18CC,1.0,13.46,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,,
RPPNMLLLRHIGFDB87CC,1.0,21.45,住家用,鋼筋混凝土造,111年10月20日,四層,,
RPRNMLLLRHIGFDB08CC,47.0,47.62,住商用,鋼筋混凝土造,65年11月30日,四層,,
RPPNMLLLRHIGFDB87CC,1.0,13.46,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,,
RPQNMLLLRHIGFDB97CC,1.0,17.62,住家用,鋼筋混凝土造,111年10月20日,四層,,
RPQNMLLLRHIGFDB97CC,1.0,26.92,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,,
RPQNMLLLRHIGFIB48CC,5.0,81.13,見其他登記事項,鋼筋混凝土造,107年11月6日,二十三層,,
RPQNMLLLRHIGFIB48CC,5.0,72.94,本共有部分之項目有：停車空間、車道、梯廳、排煙室、安全梯、揚水幫浦機械室、機械室、污水機房、消防機械室、水箱、揚水機房、防空避難室兼停車空間、電信室、消防中繼機械室、台電配電室、發電機室、頂蓋型開放空間（外廊））、特別安全梯、社區游泳池、梯間、消防中繼機房、管委會使用空間、防災中心、緩衝空間、垃圾處理室、無遮簷人行道、升降機間等２７項。,鋼筋混凝土造,107年11月6日,二十三層,,
RPPNMLLLRHIGFIB38CC,1.0,50.21,見其他登記事項,鋼筋混凝土造,111年8月5日,二十層,,
RPPNMLLLRHIGFIB38CC,1.0,35.64,停車空間、梯廳、昇降機、無障礙電梯、樓梯間、車道、機房、雨、污水機械室、消防機械室兼消防中繼機械室、水箱、機械室、公共水箱、泳池機房、水景機房、機房機械室、電信室、發電機房、垃圾貯存空間、台電配電場所、電錶區等２０項。,鋼筋混凝土造,111年8月5日,二十層,,
RPPNMLLLRHIGFIB38CC,1.0,16.45,管委會使用空間、梯廳、排煙室、緊急昇降機、昇降機、無障礙電梯、防災中心、警衛室、游泳池、樓梯間、水錶室、消防中繼機械室、消防水箱、設備空間、機械室、自來水箱等１６項。,鋼筋混凝土造,111年8月5日,二十層,,
RPRNMLLLRHIGFIB58CC,26.0,87.48,見其他登記事項,鋼筋混凝土造,86年7月5日,十二層,,
RPRNMLLLRHIGFIB58CC,26.0,29.04,防空避難室兼停車空間．梯間．機械房．水塔,鋼筋混凝土造,86年7月5日,十二層,,
RPPNMLLLRHIGFKB58CC,33.0,131.95,住家用,加強磚造,79年5月21日,二層,,
RPQNMLLLRHIGFKB68CC,35.0,15.18,住家用,鋼筋混凝土造,77年8月1日,五層,,
RPQNMLLLRHIGFKB68CC,35.0,2.68,走廊,鋼筋混凝土造,77年8月1日,五層,,
RPQNMLLLRHIGFKB68CC,35.0,2.45,突出物、梯間、人行道、避難室,鋼筋混凝土造,77年8月1日,五層,,
RPPNMLMLRHIGFBB77CC,42.0,101.68,住商用,加強磚造,70年5月4日,二層,,
RPQNMLMLRHIGFBB87CC,44.0,68.14,住家用,鋼筋混凝土造,68年12月11日,五層,,
RPRNMLMLRHIGFBB97CC,43.0,83.42,住家用,鋼筋混凝土造,69年5月30日,五層,,
RPPNMLLLRHIGFCB77CC,29.0,19.66,住家用,鋼筋混凝土造,84年1月12日,十四層,,
RPPNMLLLRHIGFCB77CC,29.0,10.08,共用部份,鋼筋混凝土造,84年1月12日,十四層,,
RPSNMLMLRHIGFBB08CC,24.0,64.29,住家用,鋼筋混凝土造,89年2月18日,十四層,,
RPSNMLMLRHIGFBB08CC,24.0,23.0,共用部份,鋼筋混凝土造,89年2月18日,十四層,,
RPRNMLLLRHIGFHB48CC,29.0,100.99,住家用,鋼筋混凝土造,84年1月10日,十三層,,
RPRNMLLLRHIGFHB48CC,29.0,34.03,共有部份,鋼筋混凝土造,84年1月10日,十三層,,
RPPNMLLLRHIGFHB28CC,32.0,160.8,住家用,鋼筋混凝土造,80年6月21日,七層,,
RPPNMLLLRHIGFHB28CC,32.0,8.89,共有部份,鋼筋混凝土造,80年6月21日,七層,,
RPQNMLLLRHIGFHB38CC,29.0,102.02,見其他登記事項,鋼筋混凝土造,83年8月12日,十四層,,
RPPNMLLLRHIGFHB28CC,32.0,44.66,防空避難室　儲藏室　停車空間,鋼筋混凝土造,80年6月21日,七層,,
RPQNMLLLRHIGFHB38CC,29.0,21.91,共有部份,鋼筋混凝土造,83年8月12日,十四層,,
RPSNMLLLRHIGFHB58CC,28.0,97.21,住家用,鋼筋混凝土造,84年4月6日,十層,,
RPSNMLLLRHIGFHB58CC,28.0,36.58,共有部份,鋼筋混凝土造,84年4月6日,十層,,
RPPNMLMLRHIGFCB87CC,31.0,89.42,住家用,鋼筋混凝土造,82年3月12日,七層,,
RPPNMLMLRHIGFCB87CC,31.0,21.3,共用部份,鋼筋混凝土造,82年3月12日,七層,,
RPQNMLMLRHIGFCB97CC,27.0,72.88,住家用,鋼筋混凝土造,85年11月8日,六層,,
RPQNMLMLRHIGFCB97CC,27.0,24.44,共用部份,鋼筋混凝土造,85年11月8日,六層,,
RPRNMLMLRHIGFCB08CC,16.0,20.1,住家用,鋼筋混凝土造,96年5月22日,十五層,,
RPRNMLMLRHIGFCB08CC,16.0,16.1,共用,鋼筋混凝土造,96年5月22日,十五層,,
RPSNMLMLRHIGFCB18CC,,827.9,,,,,,
RPTNMLMLRHIGFCB28CC,29.0,94.37,住家用,鋼筋混凝土造,83年11月14日,七層,,
RPTNMLMLRHIGFCB28CC,29.0,31.29,共用部份,鋼筋混凝土造,83年11月14日,七層,,
RPUNMLMLRHIGFCB38CC,46.0,82.63,住家用,鋼筋混凝土造,67年3月3日,五層,,
RPVNMLMLRHIGFCB48CC,28.0,18.74,住家用,鋼筋混凝土造,84年4月20日,十五層,,
RPVNMLMLRHIGFCB48CC,28.0,8.79,共用部份,鋼筋混凝土造,84年4月20日,十五層,,
RPWNMLMLRHIGFCB58CC,18.0,21.09,店舖、人行道,鋼筋混凝土造,95年2月22日,十四層,,
RPXNMLMLRHIGFCB68CC,44.0,99.51,住家用,鋼筋混凝土造,68年10月20日,五層,,
RPTNMLMLRHIGFBB18CC,10.0,62.26,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPTNMLMLRHIGFBB18CC,10.0,16.64,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPTNMLMLRHIGFBB18CC,10.0,40.58,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPWNMLMLRHIGFBB48CC,17.0,90.2,辦公室,鋼筋混凝土造,95年5月19日,十一層,,
RPWNMLMLRHIGFBB48CC,17.0,37.2,共用部份,鋼筋混凝土造,95年5月19日,十一層,,
RPVNMLMLRHIGFBB38CC,28.0,20.94,住家用,鋼筋混凝土造,84年5月26日,十六層,,
RPVNMLMLRHIGFBB38CC,28.0,6.22,共有部份,鋼筋混凝土造,84年5月26日,十六層,,
RPVNMLMLRHIGFBB38CC,28.0,6.48,共有部份,鋼筋混凝土造,84年5月26日,十六層,,
RPVNMLMLRHIGFBB38CC,28.0,0.0,共有部份,鋼筋混凝土造,84年5月26日,十六層,,
RPUNMLMLRHIGFBB28CC,10.0,66.04,住家用,鋼筋混凝土造,102年7月25日,二十二層,,
RPVNMLMLRHIGFBB38CC,28.0,0.19,共有部份,鋼筋混凝土造,84年5月26日,十六層,,
RPVNMLMLRHIGFBB38CC,28.0,0.0,共有部份,鋼筋混凝土造,84年5月26日,十六層,,
RPUNMLMLRHIGFBB28CC,10.0,17.72,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,,
RPXNMLMLRHIGFBB58CC,2.0,80.17,集合住宅,鋼筋混凝土造,110年9月24日,十五層,,
RPXNMLMLRHIGFBB58CC,2.0,45.38,本共有部分係依使用執照之建築概要表記載項目有：梯廳（兼排煙室、緊急昇降機間），無障礙安全梯，緊急昇降機，一般昇降機，水箱，汙雨水、揚水機械室，消防機械室，機電設備，防空避難室兼停車空間，車道，停車空間，電信室，台電配電室，電錶室，發電機室，機車停車空間等１６項,鋼筋混凝土造,110年9月24日,十五層,,
RPXNMLMLRHIGFBB58CC,2.0,27.99,本共有部分係依使用執照之建築概要表記載項目有：騎樓兼頂蓋型開放空間，梯廳（排煙室），管委會使用空間，外廊，緊急昇降機，一般昇降機，公共服務空間，戶外安全梯，戶外無障礙梯，機電設備，車道，垃圾儲藏室，梯廳，戶外無障礙安全梯，機械室，水錶室，樓梯間，電梯機房，水箱等１９項,鋼筋混凝土造,110年9月24日,十五層,,
RPUNMLMLRHIGFBB28CC,10.0,41.38,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,,
RPOOMLMLRHIGFCB87CC,18.0,17.68,住家用,鋼筋混凝土造,94年12月20日,十層,,
RPOOMLMLRHIGFCB87CC,18.0,4.65,共用,鋼筋混凝土造,94年12月20日,十層,,
RPOOMLMLRHIGFCB87CC,18.0,5.26,共用,鋼筋混凝土造,94年12月20日,十層,,
RPPOMLMLRHIGFCB97CC,29.0,128.44,住家用,鋼筋混凝土造,83年12月1日,二十層,,
RPPOMLMLRHIGFCB97CC,29.0,49.27,共用部份,鋼筋混凝土造,83年12月1日,二十層,,
RPRNMLMLRHIGFDB18CC,1.0,21.45,住家用,鋼筋混凝土造,111年10月20日,四層,,
