Serial Number,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPUNMLOJIIIGFCD77CC,坡道平面,0,,地下一樓
RPPNMLMJIIIGFHD57CC,坡道機械,0,,地下二樓
RPRNMLRJIIIGFBD67CC,坡道平面,0,25.44,地下一樓
RPRNMLTJIIIGFAD77CC,坡道平面,0,,地下一樓
RPQNMLTJIIIGFBD77CC,坡道平面,0,35.04,地下二樓
RPRNMLTJIIIGFCD97CC,坡道平面,1500,24.43,地下一樓
RPUNMLLKIIIGFKD38CC,坡道平面,0,14.41,地下二樓
RPVNMLLKIIIGFKD48CC,坡道平面,2000,37.35,地下二樓
RPQOMLLKIIIGFKD08CC,坡道機械,0,,地下二樓
RPRNMLMKIIIGFCD37CC,坡道機械,0,,地下一樓
RPQNMLNKIIIGFHD87CC,坡道平面,0,12.94,地下一樓
RPSNMLOKIIIGFAD47CC,坡道平面,0,16.55,地下一樓
RPVNMLQKIIIGFAD97CC,坡道機械,0,23.36,地下四樓
RPPNMLPKIIIGFID08CC,坡道平面,0,22.27,地下二樓
RPSNMLMKIIIGFCD47CC,坡道平面,0,,地下一樓
RPPNMLQKIIIGFKD38CC,一樓平面,0,,一樓
RPSNMLRKIIIGFBD87CC,坡道平面,2500,34.87,地下一樓
RPRNMLRKIIIGFCD87CC,坡道平面,0,,地下一樓
RPROMLRKIIIGFCD97CC,坡道平面,0,16.5,地下一樓
RPXOMLRKIIIGFCD58CC,坡道平面,0,24.43,地下二樓
RPTNMLRKIIIGFID68CC,坡道平面,0,20.52,地下二樓
RPVNMLRKIIIGFKD09CC,坡道平面,0,,地下二樓
RPRNMLSKIIIGFBD87CC,坡道平面,0,34.87,地下一樓
RPVNMLSKIIIGFKD56CC,坡道機械,1350,19.29,地下三樓
RPPNMLMLIIIGFKD08CC,其他,0,,地下一樓
RPSNMLOLIIIGFBD67CC,坡道平面,0,34.07,地下二樓
RPRNMLPLIIIGFBD67CC,坡道平面,2500,34.87,地下二樓
RPPNMLLLRHIGFAE87CC,坡道平面,0,32.78,地下四樓
RPSNMLLLRHIGFBE28CC,坡道平面,1700,12.65,地下五樓含以下
RPRNMLLLRHIGFBE18CC,坡道平面,2200,14.65,地下二樓
RPSOMLLLRHIGFBE38CC,坡道平面,0,14.9,地下三樓
RPPNMLLLRHIGFCE08CC,坡道平面,0,23.87,地下一樓
RPQNMLLLRHIGFDE28CC,坡道機械,0,6.64,地下三樓
RPQNMLLLRHIGFEE38CC,坡道平面,0,36.24,地下二樓
RPVNMLLLRHIGFGE09CC,坡道平面,0,23.1,地下二樓
RPPNMLLLRHIGFIE68CC,坡道平面,0,25.54,地下三樓
RPROMLMLRHIGFAE28CC,坡道平面,0,29.96,地下四樓
RPPOMLMLRHIGFAE08CC,坡道機械,0,,地下二樓
RPRNMLMLRHIGFEE58CC,坡道平面,0,,地下二樓
RPOOMLMLRHIGFEE38CC,坡道平面,0,21.82,地下二樓
RPOOMLMLRHIGFEE38CC,坡道機械,0,11.34,地下一樓
RPSNMLNLRHIGFAE38CC,坡道平面,0,49.04,地下四樓
RPUNMLNLRHIGFCE78CC,坡道平面,0,16.32,地下二樓
RPQNMLNLRHIGFDE48CC,坡道平面,0,17.6,地下二樓
RPVNMLNLRHIGFCE88CC,坡道平面,0,20.38,地下一樓
RPUNMLNLRHIGFEE98CC,坡道平面,2500,23.96,地下二樓
RPQNMLPLRHIGFAE38CC,坡道機械,0,,地下二樓
RPQNMLPLRHIGFBE48CC,升降機械,0,,地下二樓
RPVNMLPLRHIGFBE98CC,升降機械,0,2.41,地下一樓
RPWNMLPLRHIGFBE09CC,坡道平面,300,26.45,地下二樓
RPPNMLPLRHIGFDE58CC,坡道平面,0,38.2,地下一樓
RPSNMLNLRHIGFFE88CC,坡道機械,0,18.38,地下四樓
RPSOMLPLRHIGFDE98CC,坡道平面,0,37.99,地下三樓
RPUNMLPLRHIGFEE56CC,坡道平面,0,33.08,地下二樓
RPWNMLPLRHIGFEE76CC,坡道平面,0,27.47,地下三樓
RPQNMLPLRHIGFGE98CC,坡道平面,0,55.6,地下一樓
RPUNMLQLRHIGFBE98CC,坡道平面,0,17.68,地下二樓
RPQNMLQLRHIGFCE68CC,坡道平面,0,,地下五樓含以下
RPQNMLQLRHIGFDE78CC,坡道平面,0,23.23,地下一樓
RPWOMLQLRHIGFDE86CC,坡道平面,0,22.68,地下五樓含以下
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下一樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPUNMLQLRHIGFEE66CC,坡道平面,0,29.63,地下四樓
RPQNMLQLRHIGFGE09CC,坡道機械,0,,地下二樓
RPQNMLRLRHIGFAE58CC,坡道平面,0,,地下一樓
RPTNMLRLRHIGFAE88CC,坡道平面,0,14.34,地下二樓
RPUNMLRLRHIGFAE98CC,坡道平面,0,29.14,地下四樓
RPVNMLRLRHIGFBE56CC,坡道平面,0,14.65,地下四樓
RPUNMLRLRHIGFDE66CC,坡道機械,0,6.6,地下二樓
RPWNMLRLRHIGFEE96CC,坡道平面,1300,21.56,地下三樓
RPVNMLRLRHIGFEE86CC,坡道平面,0,32.05,地下三樓
RPXNMLRLRHIGFEE07CC,坡道平面,0,,地下二樓
RPQOMLRLRHIGFEE09CC,坡道平面,0,16.52,地下二樓
RPROMLRLRHIGFEE56CC,升降機械,0,6.98,地下四樓
RPVOMLRLRHIGFEE96CC,坡道平面,0,37.99,地下三樓
RPTOMLRLRHIGFEE76CC,坡道平面,0,27.65,地下三樓
RPPOMLRLRHIGFFE09CC,其他,0,16.53,地下四樓
RPQOMLRLRHIGFFE56CC,坡道機械,0,18.38,地下五樓含以下
RPSOMLRLRHIGFFE76CC,坡道機械,0,9.1,地下三樓
RPQNMLRLRHIGFLE07CC,坡道機械,0,10.54,一樓
RPPNMLRLRHIGFGE56DC,坡道平面,0,16.76,地下二樓
RPRNMLSLRHIGFAE78CC,坡道平面,0,18.77,地下一樓
RPTNMLSLRHIGFAE98CC,坡道平面,0,30.04,地下一樓
RPQOMLSLRHIGFAE78CC,坡道平面,0,16.5,地下三樓
RPPOMLSLRHIGFBE78CC,坡道平面,0,27.04,地下三樓
RPQNMLSLRHIGFCE88CC,坡道平面,3000,40.97,地下二樓
RPOOMLSLRHIGFCE78CC,坡道平面,0,26.32,地下二樓
RPQOMLSLRHIGFDE09CC,坡道平面,0,17.6,地下二樓
RPXOMLSLRHIGFDE17CC,坡道平面,0,15.15,地下三樓
RPRNMLSLRHIGFEE56CC,坡道平面,0,16.57,地下三樓
RPTPMLSLRHIGFDE86CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFEE66CC,坡道平面,0,29.63,地下二樓
RPTNMLSLRHIGFEE76CC,坡道平面,0,16.11,地下一樓
RPQNMLSLRHIGFGE66CC,坡道平面,0,,地下一樓
RPRNMLSLRHIGFGE76CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFGE86CC,坡道平面,0,,地下一樓
RPSNMLSLRHIGFGE86CC,坡道平面,0,,地下一樓
RPTNMLSLRHIGFGE96CC,坡道平面,0,,地下一樓
RPUNMLSLRHIGFGE07CC,坡道平面,0,,地下一樓
RPVNMLSLRHIGFGE17CC,坡道平面,0,,地下一樓
RPWNMLSLRHIGFGE27CC,坡道平面,0,,地下一樓
RPRNMLKMRHIGFAE08CC,坡道平面,0,25.25,地下二樓
RPSNMLKMRHIGFAE18CC,坡道平面,0,26.86,地下三樓
RPPNMLKMRHIGFDE18CC,坡道平面,0,21.25,地下三樓
RPRNMLKMRHIGFEE48CC,坡道平面,0,30.12,地下二樓
RPQNMLKMRHIGFDE28CC,坡道機械,0,24.53,地下四樓
RPPNMLKMRHIGFGE48CC,坡道平面,0,18.85,地下三樓
RPPNMLMJIIIGFDE27CC,坡道平面,0,28.02,地下二樓
RPQNMLMJIIIGFDE37CC,坡道平面,0,22.68,地下一樓
RPQNMLMJIIIGFDE37CC,坡道平面,0,20.81,地下一樓
RPRNMLMJIIIGFDE47CC,坡道平面,0,28.02,地下二樓
RPPNMLNJIIIGFAE07CC,坡道平面,0,26.88,地下三樓
RPPNMLNJIIIGFAE07CC,坡道平面,0,26.88,地下三樓
RPWNMLNJIIIGFAE77CC,坡道機械,0,4.83,地下二樓
RPSNMLOJIIIGFEE87CC,坡道機械,1000,10.06,地下三樓
RPRNMLQJIIIGFAE57CC,坡道平面,0,24.24,地下二樓
RPQNMLQJIIIGFAE47CC,坡道平面,0,,地下二樓
RPQNMLLKIIIGFBE17CC,坡道平面,0,34.56,地下一樓
RPXNMLLKIIIGFGE38CC,坡道平面,0,,地下三樓
RPQNMLMKIIIGFEE57CC,坡道平面,0,25.19,地下一樓
RPWNMLMKIIIGFEE18CC,坡道平面,0,25.37,地下三樓
RPSOMLMKIIIGFEE87CC,坡道平面,0,25.37,地下三樓
RPUNMLMKIIIGFGE18CC,坡道平面,0,18.39,地下一樓
RPTOMLNKIIIGFAE67CC,坡道機械,0,6.02,地下二樓
RPPNMLOKIIIGFCE47CC,坡道機械,0,19.04,地下二樓
RPQNMLQKIIIGFDE87CC,坡道機械,0,6.95,地下三樓
RPTNMLQKIIIGFDE18CC,坡道平面,0,28.92,地下一樓
RPRNMLQKIIIGFGE28CC,坡道平面,0,18.81,地下二樓
RPRNMLRKIIIGFCE97CC,坡道機械,0,16.15,地下三樓
RPXNMLRKIIIGFDE68CC,坡道平面,0,22.19,地下二樓
RPQNMLRKIIIGFGE28CC,坡道平面,0,,地下一樓
RPTNMLSKIIIGFDE38CC,坡道平面,0,27.96,地下三樓
RPUNMLSKIIIGFEE58CC,坡道機械,0,7.05,地下一樓
RPRNMLSKIIIGFGE48CC,坡道平面,0,,地下一樓
RPUNMLSKIIIGFGE78CC,坡道平面,0,,地下一樓
RPUNMLSKIIIGFGE78CC,坡道平面,0,,地下二樓
RPVNMLSKIIIGFGE88CC,坡道平面,0,,地下一樓
RPTNMLTKIIIGFAE18CC,坡道機械,0,15.99,地下三樓
RPVNMLTKIIIGFBE48CC,塔式車位,0,21.82,
RPOOMLTKIIIGFEE18CC,坡道平面,0,22.87,地下三樓
RPRNMLKLIIIGFGE77CC,坡道平面,0,16.58,地下一樓
RPTNMLOLIIIGFDE08CC,坡道平面,0,28.14,地下二樓
RPQOMLPLIIIGFDE97CC,坡道平面,0,,地下二樓
RPSNMLPKQHIGFAF48CC,坡道平面,0,36.83,地下二樓
RPPNMLNLPHIGFAF97CC,坡道平面,0,34.91,地下五樓含以下
RPWNMLLLRHIGFBF78CC,坡道平面,0,27.18,地下四樓
RPQNMLLLRHIGFDF38CC,坡道平面,0,37.1,地下五樓含以下
RPPOMLLLRHIGFDF38CC,坡道平面,0,37.1,地下五樓含以下
RPPOMLLLRHIGFDF38CC,坡道平面,0,37.1,地下五樓含以下
RPTNMLLKQHIGFGF78CC,坡道平面,0,21.62,地下二樓
RPXNMLLLRHIGFDF09CC,坡道平面,0,23.03,地下二樓
RPPOMLLLRHIGFGF68CC,坡道平面,0,30.24,地下一樓
RPUNMLLLRHIGFHF56CC,坡道平面,0,20.39,地下四樓
RPVNMLLLRHIGFHF66CC,坡道平面,0,39.7,地下四樓
RPTNMLMLRHIGFBF58CC,坡道平面,3000,30.71,地下五樓含以下
RPVNMLMLRHIGFBF78CC,坡道平面,3000,33.08,地下二樓
RPXNMLMLRHIGFBF98CC,坡道平面,3500,,地下一樓
RPROMLMLRHIGFBF48CC,坡道平面,0,23.17,地下一樓
RPTOMLMLRHIGFBF68CC,坡道平面,0,29.72,地下一樓
RPQNMLLKQHIGFCF08CC,坡道平面,0,34.97,地下二樓
RPPOMLMLRHIGFCF38CC,坡道平面,0,,地下二樓
RPSNMLMLRHIGFDF68CC,坡道平面,0,38.24,地下二樓
RPQPMLMLRHIGFGF98CC,坡道平面,0,26.99,地下二樓
RPRPMLMLRHIGFGF09CC,坡道平面,0,26.99,地下三樓
RPRNMLMLRHIGFHF98CC,升降機械,3000,17.3,地下一樓
RPSNMLMLRHIGFIF56CC,坡道平面,0,39.03,地下二樓
RPTNMLNLRHIGFAF58CC,坡道平面,0,30.96,地下一樓
RPTNMLOKPHIGFCF58CC,坡道平面,0,31.76,地下二樓
RPRNMLNLRHIGFDF68CC,坡道平面,0,31.51,地下五樓含以下
RPRNMLNLRHIGFDF68CC,坡道平面,0,31.51,地下五樓含以下
RPSNMLNLRHIGFGF09CC,升降平面,3000,46.02,地下四樓
RPQOMLNLRHIGFGF98CC,升降平面,0,46.02,地下五樓含以下
RPUQMLNLRHIGFGF96CC,升降平面,0,46.02,地下五樓含以下
RPQRMLNLRHIGFGF66CC,坡道平面,0,33.06,地下一樓
RPSNMLNLRHIGFIF66CC,坡道平面,0,34.48,地下一樓
RPWNMLPKQHIGFAF88CC,坡道平面,3000,30.39,地下三樓
RPRNMLLKQHIGFBF08CC,坡道平面,0,39.14,地下一樓
RPTNMLKMQHIGFBF38CC,坡道平面,3000,24.18,地下二樓
RPSOMLPLRHIGFBF88CC,坡道機械,3000,15.72,地下三樓
RPXNMLPLRHIGFBF66CC,坡道平面,3000,35.75,地下三樓
RPOPMLPLRHIGFBF58CC,坡道平面,0,22.65,地下四樓
RPPNMLPLRHIGFDF68CC,升降平面,0,,地下三樓
RPTNMLPLRHIGFGF76CC,坡道平面,3100,31.06,地下二樓
RPQPMLPLRHIGFGF66CC,升降平面,0,46.02,地下四樓
RPPNMLQLRHIGFBF58CC,坡道平面,3000,29.3,地下四樓
RPSNMLQLRHIGFBF88CC,坡道平面,3500,27.92,地下一樓
RPTNMLQLRHIGFBF98CC,坡道平面,3000,30.71,地下四樓
RPVNMLQLRHIGFBF56CC,坡道平面,3000,30.39,地下三樓
RPTNMLQLRHIGFIF07CC,坡道平面,2500,48.49,地下三樓
RPTNMLRLRHIGFCF56CC,坡道機械,0,18.63,地下一樓
RPWNMLRLRHIGFGF27CC,坡道平面,3000,42.07,地下一樓
RPQOMLRLRHIGFGF76CC,坡道平面,0,26.99,地下三樓
RPPNMLRLRHIGFIF76CC,坡道平面,1500,,地下一樓
RPQOMLSLRHIGFAF88CC,坡道平面,0,19.4,地下二樓
RPQOMLSLRHIGFBF98CC,坡道平面,3000,35.02,地下二樓
RPTNMLSLRHIGFCF66CC,坡道平面,0,31.76,地下三樓
RPRNMLSLRHIGFCF09CC,坡道平面,0,31.76,地下三樓
RPUNMLSLRHIGFCF76CC,坡道平面,0,31.76,地下三樓
RPWNMLSLRHIGFCF96CC,坡道平面,0,31.76,地下三樓
RPVNMLSLRHIGFCF86CC,坡道平面,0,31.76,地下三樓
RPQNMLSLRHIGFDF09CC,坡道平面,1000,31.16,地下二樓
RPVNMLSLRHIGFDF96CC,坡道平面,0,47.8,地下一樓
RPROMLSLRHIGFHF07CC,坡道平面,4500,,地下一樓
RPPOMLMJIIIGFBF27CC,坡道平面,0,21.75,地下三樓
RPRNMLNJIIIGFBF47CC,坡道平面,3000,35.85,地下四樓
RPTNMLNJIIIGFBF67CC,坡道平面,3000,22.66,地下三樓
RPRNMLNJIIIGFDF67CC,坡道平面,4547,23.03,地下四樓
RPWOMLNJIIIGFIF78CC,坡道平面,0,46.16,地下三樓
RPPNMLOJIIIGFBF37CC,坡道平面,3000,35.85,地下三樓
