serial_number,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPOOMLQKQHIGFBA87CC,7.0,0.75,本共有部分之項目有機電設備空間、消防中繼水箱、消防機電設備空間、消防中繼幫浦室、自來水箱、樓梯間、進風、排煙、一般安全梯Ｄ、安全梯Ｂ２、安全梯Ｂ３、緊急升降機、緊急升降機兼供行動不便者使用電梯、一般昇降機、排煙室Ｂ１、電力管道室、走道、無機房昇降機、防災中心、信箱間、特別安全梯Ａ、特別安全梯Ｂ、特別安全梯Ｃ、一般安全梯Ａ１、一般安全梯Ｂ１、排煙室Ａ１、排煙室Ａ２、排煙室Ｂ２、排煙室Ｃ、梯廳（排煙室Ｂ１）、梯廳、消防撒水、排水、排氣、進氣口、排氣口管道、發電機排氣口、進氣管道、電氣排水消防、陽台、（６ＭＸ１２Ｍ）緩衝空間、電力、管理委員會使用空間、走廊、水錶室、電管道室、台電配電室、受電箱、排氣管道、弱電、消防管道、機電設備空間（消防中繼幫浦室）、防空避難室兼停車空間、發電機室兼大公變電室、垃圾處理室、垃圾裝卸空間、電梯間、停車空間、機電設備空間（供電信使用）、小公變電室、自來水池、消防幫浦室、法定裝卸車位、騎樓、自設騎樓及法定騎樓等６６項,鋼骨造,105年3月31日,二十六層,NULL,NULL
RPSOMLLKQHIGFCA87CC,42.0,59.51,商業用,鋼筋混凝土造,70年11月25日,七層,NULL,NULL
RPSOMLLKQHIGFCA87CC,42.0,5.33,共有部分,鋼筋混凝土造,70年11月25日,七層,NULL,NULL
RPPNMLNKQHIGFCA67CC,56.0,86.98,住家用,鋼筋混凝土造,56年2月6日,四層,NULL,NULL
RPROMLTLQHIGFCA68CC,46.0,68.69,住家用,鋼筋混凝土造,66年11月28日,五層,NULL,NULL
RPQNMLPJQHIGFCA97DC,43.0,108.35,見使用執照,鋼筋混凝土造,69年8月16日,五層,NULL,NULL
RPTNMLTJQHIGFAA38CC,28.0,114.89,住家用,鋼筋混凝土造,84年5月16日,十二層,NULL,NULL
RPTNMLTJQHIGFAA38CC,28.0,9.5,見使用執照,鋼筋混凝土造,84年5月16日,十三層,NULL,NULL
RPTNMLTJQHIGFAA38CC,28.0,52.43,防空避難室兼停車場、停車空間,鋼筋混凝土造,84年5月16日,十三層,NULL,NULL
RPRNMLRKQHIGFCA28CC,24.0,12.24,商業用,鋼筋混凝土造,88年9月28日,十六層,NULL,NULL
RPPNMLMLQHIGFCA67CC,39.0,30.23,住家用,鋼筋混凝土造,73年9月27日,十三層,NULL,NULL
RPPNMLMLQHIGFCA67CC,39.0,7.63,共有部分,鋼筋混凝土造,73年9月27日,十三層,NULL,NULL
RPSOMLMLQHIGFCA08CC,23.0,142.78,商業用,鋼筋混凝土造,89年7月13日,八層,NULL,NULL
RPSOMLMLQHIGFCA08CC,23.0,80.58,共有部分,鋼筋混凝土造,89年7月13日,八層,NULL,NULL
RPSOMLMLQHIGFCA08CC,23.0,12.78,共有部分,鋼筋混凝土造,89年7月13日,八層,NULL,NULL
RPQNMLSLQHIGFCA38CC,43.0,230.08,商業用,鋼筋混凝土造,69年8月22日,十二層,NULL,NULL
RPUNMLOKQHIGFCA28CC,13.0,29.07,住家用,鋼筋混凝土造,99年12月24日,十四層,NULL,NULL
RPUNMLOKQHIGFCA28CC,13.0,15.3,本共有部分之項目有：管委會空間、機車停車空間、外廊、機房、陽臺、Ａ戶外樓梯、Ｂ戶外樓梯、排煙室、梯廳、緊急升降機、走道、雨遮、水箱、進風、排煙、發電機室、電錶室、排風、台電配電室、機房〈供電信使用〉、消防泵浦室、發電機油箱等２２項。,鋼筋混凝土造,99年12月24日,十四層,NULL,NULL
RPUNMLOKQHIGFCA28CC,13.0,2.46,本共有部分之項目有：排煙室兼梯廳、緊急升降機、車道、花台、景觀水池、陽台、防空避難室兼停車空間、排煙室、停車空間、等９項。,鋼筋混凝土造,99年12月24日,十四層,NULL,NULL
RPUOMLKKQHIGFCA97CC,57.0,87.55,住家用,加強磚造,55年5月26日,三層,NULL,NULL
RPPNMLTKQHIGFCA28CC,NULL,102.44,NULL,加強磚造,NULL,三層,NULL,NULL
RPPNMLMLQHIGFFA97CC,40.0,50.88,住家用,鋼筋混凝土造,72年11月28日,七層,NULL,NULL
RPSNMLMLQHIGFFA28CC,36.0,117.84,商業用,鋼筋混凝土造,76年11月23日,十二層,NULL,NULL
RPTNMLPLQHIGFFA68CC,45.0,21.04,住家用,鋼筋混凝土造,67年9月29日,七層,NULL,NULL
RPRNMLSLPHIGFCA38CC,56.0,70.44,NULL,鋼筋混凝土造,56年10月31日,十層,NULL,NULL
RPRNMLSLPHIGFCA38CC,56.0,1.33,共有部分,鋼筋混凝土造,56年10月31日,十層,NULL,NULL
RPPNMLOJQHIGFCA67CC,39.0,29.92,住家用,鋼筋混凝土造,73年6月5日,十二層,NULL,NULL
RPRNMLSLPHIGFCA38CC,56.0,1.39,共有部分,鋼筋混凝土造,56年10月31日,十層,NULL,NULL
RPPNMLOJQHIGFCA67CC,39.0,5.72,共有部分,鋼筋混凝土造,73年6月5日,十二層,NULL,NULL
RPRNMLSLPHIGFCA38CC,56.0,18.47,共有部分,鋼筋混凝土造,56年10月31日,十層,NULL,NULL
RPQNMLRJQHIGFCA08CC,23.0,142.8,住家用,鋼筋混凝土造,89年6月28日,十層,NULL,NULL
RPQOMLMLRHIGFEA18CC,43.0,20.0,住家用,鋼筋混凝土造,69年8月27日,五層,NULL,NULL
RPPNMLSJQHIGFCA08CC,55.0,108.16,住家用,加強磚造,57年12月5日,二層,NULL,NULL
RPVNMLTKNHIGFFA88CC,NULL,94.16,NULL,加強磚造,NULL,四層,NULL,NULL
RPRNMLRLPHIGFCA28CC,9.0,322.3,一般零售業甲組（不含便利商店）,鋼骨造,103年12月22日,十七層,NULL,NULL
RPRNMLRLPHIGFCA28CC,9.0,223.04,本共有部分之項目有自設騎樓、騎樓、管委會使用空間、梯廳、特別安全梯（甲）、特別安全梯（乙）、梯廳兼排煙室、排煙室、防災中心、車道、機電設備空間、機電設備空間（電梯機房）、機電設備空間（水錶室）、消防水箱、蓄水池、台電配電室、停車空間兼防空避難室、出入口緩衝空間、垃圾儲藏室、電信機房、發電機室、停車空間、機電設備空間（進風管道）、機電設備空間（排風管道）及機電設備空間（消防泵浦室）等２５項,鋼骨造,103年12月22日,十七層,NULL,NULL
RPPNMLKMQHIGFBA47CC,45.0,9.92,住家用,鋼筋混凝土造,67年8月22日,四層,NULL,NULL
RPTNMLQLRHIGFCA58CC,15.0,12.15,停車空間,鋼筋混凝土造,97年11月24日,十四層,NULL,NULL
RPTNMLQLRHIGFCA58CC,15.0,0.04,共有部分,鋼筋混凝土造,97年11月24日,十四層,NULL,NULL
RPTNMLQLRHIGFCA58CC,15.0,9.83,共有部分,鋼筋混凝土造,97年11月24日,十四層,NULL,NULL
RPTNMLQLRHIGFCA58CC,15.0,5.98,共有部分,鋼筋混凝土造,97年11月24日,十四層,NULL,NULL
RPTNMLQLRHIGFCA58CC,15.0,2.11,共有部分,鋼筋混凝土造,97年11月24日,十四層,NULL,NULL
RPQNMLLLRHIGFBB77CC,28.0,19.68,住家用,鋼筋混凝土造,84年11月24日,二十四層,NULL,NULL
RPUNMLLLRHIGFBB18CC,27.0,20.46,住家用,鋼筋混凝土造,85年7月15日,十四層,NULL,NULL
RPSNMLLLRHIGFBB97CC,43.0,100.03,住商用,鋼筋混凝土造,69年7月9日,五層,NULL,NULL
RPTNMLLLRHIGFBB08CC,27.0,20.68,住家用,鋼筋混凝土造,85年5月24日,十六層,NULL,NULL
RPQNMLLLRHIGFBB77CC,28.0,10.77,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,NULL,NULL
RPOOMLLLRHIGFBB67CC,2.0,51.49,集合住宅,鋼筋混凝土造,111年1月12日,十五層,NULL,NULL
RPUNMLLLRHIGFBB18CC,27.0,6.58,共有部份,鋼筋混凝土造,85年7月15日,十四層,NULL,NULL
RPSNMLLLRHIGFBB97CC,43.0,44.88,避難室,鋼筋混凝土造,69年7月19日,五層,NULL,NULL
RPTNMLLLRHIGFBB08CC,27.0,6.7,共用部份,鋼筋混凝土造,85年5月24日,十六層,NULL,NULL
RPOOMLLLRHIGFBB67CC,2.0,49.48,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，排煙室，樓梯間，昇降機間，雨汙水機房，消防機房，機械室，水箱，停車空間，緊急發電機室，電信室，景觀機房，梯廳，管理室，門廊，門廳，資源回收中心，管委會空間，水景機房，走廊，梯間，水錶箱室，電梯機房等２３項。,鋼筋混凝土造,111年1月12日,十五層,NULL,NULL
RPUNMLLLRHIGFBB18CC,27.0,4.93,共有部份,鋼筋混凝土造,85年7月15日,十四層,NULL,NULL
RPTNMLLLRHIGFBB08CC,27.0,0.0,共用部份,鋼筋混凝土造,85年5月24日,十六層,NULL,NULL
RPUNMLLLRHIGFBB18CC,27.0,0.0,共有部份,鋼筋混凝土造,85年7月15日,十四層,NULL,NULL
RPTNMLLLRHIGFBB08CC,27.0,4.56,共用部份,鋼筋混凝土造,85年5月24日,十六層,NULL,NULL
RPPNMLLLRHIGFBB67CC,31.0,79.2,住家用,鋼筋混凝土造,82年1月6日,八層,NULL,NULL
RPXNMLLLRHIGFBB48CC,28.0,20.41,住家用,鋼筋混凝土造,84年6月26日,二十四層,NULL,NULL
RPPNMLLLRHIGFBB67CC,31.0,22.51,共用部份,鋼筋混凝土造,82年1月6日,八層,NULL,NULL
RPVNMLLLRHIGFBB28CC,28.0,146.95,住家用,鋼筋混凝土造,85年1月8日,三層,NULL,NULL
RPXNMLLLRHIGFBB48CC,28.0,5.41,共用部份,鋼筋混凝土造,84年6月26日,二十四層,NULL,NULL
RPXNMLLLRHIGFBB48CC,28.0,4.13,共用部份,鋼筋混凝土造,84年6月26日,二十四層,NULL,NULL
RPRNMLLLRHIGFBB87CC,28.0,18.53,住家用,鋼筋混凝土造,84年6月7日,二十一層,NULL,NULL
RPRNMLLLRHIGFBB87CC,28.0,11.69,共用部份,鋼筋混凝土造,84年6月7日,二十一層,NULL,NULL
RPWNMLLLRHIGFBB38CC,10.0,63.45,住家用,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPWNMLLLRHIGFBB38CC,10.0,17.07,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPWNMLLLRHIGFBB38CC,10.0,13.62,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPTOMLLLRHIGFBB18CC,15.0,18.33,住家用,鋼筋混凝土造,97年11月28日,十七層,NULL,NULL
RPTOMLLLRHIGFBB18CC,15.0,3.81,共用部份,鋼筋混凝土造,97年11月28日,十七層,NULL,NULL
RPSOMLLLRHIGFBB08CC,28.0,37.31,住家用,鋼筋混凝土造,84年6月7日,二十一層,NULL,NULL
RPTOMLLLRHIGFBB18CC,15.0,8.53,共用部份,鋼筋混凝土造,97年11月28日,十七層,NULL,NULL
RPSOMLLLRHIGFBB08CC,28.0,23.54,共用部份,鋼筋混凝土造,84年6月7日,二十一層,NULL,NULL
RPQOMLLLRHIGFBB87CC,29.0,74.49,住家用,鋼筋混凝土造,83年4月1日,七層,NULL,NULL
RPUOMLLLRHIGFBB28CC,28.0,21.14,住家用,鋼筋混凝土造,84年11月24日,二十四層,NULL,NULL
RPPOMLLLRHIGFBB77CC,17.0,173.95,住房，停車空間,鋼筋混凝土造,95年6月26日,四層,NULL,NULL
RPUOMLLLRHIGFBB28CC,28.0,10.97,防空避難室，停車空間，門廳，樓梯間，機械室，水箱,鋼筋混凝土造,84年11月24日,二十四層,NULL,NULL
RPQOMLLLRHIGFBB87CC,29.0,28.29,共有部份,鋼筋混凝土造,83年4月1日,七層,NULL,NULL
RPPOMLLLRHIGFBB77CC,17.0,2.33,共有部份,鋼筋混凝土造,95年6月26日,四層,NULL,NULL
RPPOMLLLRHIGFBB77CC,17.0,1.85,共有部份,鋼筋混凝土造,95年6月26日,四層,NULL,NULL
RPPOMLLLRHIGFBB77CC,17.0,2.82,共有部份,鋼筋混凝土造,95年6月26日,四層,NULL,NULL
RPPOMLLLRHIGFBB77CC,17.0,13.2,共有部份,鋼筋混凝土造,95年6月26日,四層,NULL,NULL
RPSNMLLLRHIGFCB08CC,29.0,77.56,住家用,鋼筋混凝土造,84年2月15日,十六層,NULL,NULL
RPSNMLLLRHIGFCB08CC,29.0,26.4,共用部份,鋼筋混凝土造,84年2月15日,十六層,NULL,NULL
RPSNMLLLRHIGFCB08CC,29.0,16.89,共用部份,鋼筋混凝土造,84年2月15日,十六層,NULL,NULL
RPVNMLLLRHIGFCB38CC,27.0,62.14,住家用,鋼筋混凝土造,85年12月14日,十四層,NULL,NULL
RPVNMLLLRHIGFCB38CC,27.0,19.03,共用部份,鋼筋混凝土造,85年12月14日,十四層,NULL,NULL
RPUNMLLLRHIGFCB28CC,25.0,101.32,住家用,鋼筋混凝土造,87年9月22日,九層,NULL,NULL
RPXNMLLLRHIGFCB58CC,28.0,164.3,人行道、店舖、辦公室,鋼筋混凝土造,84年12月29日,十四層,NULL,NULL
RPUNMLLLRHIGFCB28CC,25.0,60.16,共用部份,鋼筋混凝土造,87年9月22日,九層,NULL,NULL
RPXNMLLLRHIGFCB58CC,28.0,40.0,共用部份,鋼筋混凝土造,84年12月29日,十四層,NULL,NULL
RPWNMLLLRHIGFCB48CC,25.0,32.91,辦公室,鋼筋混凝土造,87年11月3日,十四層,NULL,NULL
RPPOMLLLRHIGFCB87CC,41.0,214.87,住商用,鋼筋混凝土造,71年8月6日,三層,NULL,NULL
RPWNMLLLRHIGFCB48CC,25.0,6.7,共用部份,鋼筋混凝土造,87年11月3日,十四層,NULL,NULL
RPWNMLLLRHIGFCB48CC,25.0,11.62,共用部份,鋼筋混凝土造,87年11月3日,十四層,NULL,NULL
RPRNMLLLRHIGFCB97CC,5.0,13.28,見其他登記事項,鋼筋混凝土造,108年2月26日,五層,NULL,NULL
RPRNMLLLRHIGFCB97CC,5.0,12.43,本共有部份係依使用執照之建築概要表記載項目有：人行道、電信室、梯廳、直通樓梯、停車空間、管道間、管委會空間、樓梯間、機械室等九項。,鋼筋混凝土造,108年2月26日,五層,NULL,NULL
RPQNMLLLRHIGFCB87CC,14.0,53.12,住家用,鋼筋混凝土造,99年1月12日,二十六層,NULL,NULL
RPQNMLLLRHIGFCB87CC,14.0,52.65,本共有部分之項目有防空避難室兼停車空間、停車空間、發電機室、門廳、消防機房、垃圾處理空間、昇降設備、梯間、水箱、機房、排煙室、梯廳、進氣管道、排氣管道、特別安全梯、車道、污水機房、電信管道、給水管道、弱電管道、電信室、蓄水池、機械室、台電配電室、泳池噴灌機房、社區游泳池、儲藏室、機坑、防災中心、走廊、中繼水箱、中繼機械室、避難平台等三十二項,鋼筋混凝土造,99年1月12日,二十六層,NULL,NULL
RPSOMLLLRHIGFCB18CC,30.0,18.34,住家用,鋼筋混凝土造,83年1月20日,七層,NULL,NULL
RPSOMLLLRHIGFCB18CC,30.0,21.2,共用部份,鋼筋混凝土造,83年1月20日,七層,NULL,NULL
RPPOMLLLRHIGFDB97CC,49.0,98.5,住家用,加強磚造,64年3月5日,二層,NULL,NULL
RPROMLLLRHIGFDB18CC,1.0,17.62,住家用,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPROMLLLRHIGFDB18CC,1.0,13.46,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPPNMLLLRHIGFDB87CC,1.0,21.45,住家用,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPRNMLLLRHIGFDB08CC,47.0,47.62,住商用,鋼筋混凝土造,65年11月30日,四層,NULL,NULL
RPPNMLLLRHIGFDB87CC,1.0,13.46,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPQNMLLLRHIGFDB97CC,1.0,17.62,住家用,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPQNMLLLRHIGFDB97CC,1.0,26.92,本共有部分之項目有住宅、樓梯間等２項,鋼筋混凝土造,111年10月20日,四層,NULL,NULL
RPQNMLLLRHIGFIB48CC,5.0,81.13,見其他登記事項,鋼筋混凝土造,107年11月6日,二十三層,NULL,NULL
RPQNMLLLRHIGFIB48CC,5.0,72.94,本共有部分之項目有：停車空間、車道、梯廳、排煙室、安全梯、揚水幫浦機械室、機械室、污水機房、消防機械室、水箱、揚水機房、防空避難室兼停車空間、電信室、消防中繼機械室、台電配電室、發電機室、頂蓋型開放空間（外廊））、特別安全梯、社區游泳池、梯間、消防中繼機房、管委會使用空間、防災中心、緩衝空間、垃圾處理室、無遮簷人行道、升降機間等２７項。,鋼筋混凝土造,107年11月6日,二十三層,NULL,NULL
RPPNMLLLRHIGFIB38CC,1.0,50.21,見其他登記事項,鋼筋混凝土造,111年8月5日,二十層,NULL,NULL
RPPNMLLLRHIGFIB38CC,1.0,35.64,停車空間、梯廳、昇降機、無障礙電梯、樓梯間、車道、機房、雨、污水機械室、消防機械室兼消防中繼機械室、水箱、機械室、公共水箱、泳池機房、水景機房、機房機械室、電信室、發電機房、垃圾貯存空間、台電配電場所、電錶區等２０項。,鋼筋混凝土造,111年8月5日,二十層,NULL,NULL
RPPNMLLLRHIGFIB38CC,1.0,16.45,管委會使用空間、梯廳、排煙室、緊急昇降機、昇降機、無障礙電梯、防災中心、警衛室、游泳池、樓梯間、水錶室、消防中繼機械室、消防水箱、設備空間、機械室、自來水箱等１６項。,鋼筋混凝土造,111年8月5日,二十層,NULL,NULL
RPRNMLLLRHIGFIB58CC,26.0,87.48,見其他登記事項,鋼筋混凝土造,86年7月5日,十二層,NULL,NULL
RPRNMLLLRHIGFIB58CC,26.0,29.04,防空避難室兼停車空間．梯間．機械房．水塔,鋼筋混凝土造,86年7月5日,十二層,NULL,NULL
RPPNMLLLRHIGFKB58CC,33.0,131.95,住家用,加強磚造,79年5月21日,二層,NULL,NULL
RPQNMLLLRHIGFKB68CC,35.0,15.18,住家用,鋼筋混凝土造,77年8月1日,五層,NULL,NULL
RPQNMLLLRHIGFKB68CC,35.0,2.68,走廊,鋼筋混凝土造,77年8月1日,五層,NULL,NULL
RPQNMLLLRHIGFKB68CC,35.0,2.45,突出物、梯間、人行道、避難室,鋼筋混凝土造,77年8月1日,五層,NULL,NULL
RPPNMLMLRHIGFBB77CC,42.0,101.68,住商用,加強磚造,70年5月4日,二層,NULL,NULL
RPQNMLMLRHIGFBB87CC,44.0,68.14,住家用,鋼筋混凝土造,68年12月11日,五層,NULL,NULL
RPRNMLMLRHIGFBB97CC,43.0,83.42,住家用,鋼筋混凝土造,69年5月30日,五層,NULL,NULL
RPPNMLLLRHIGFCB77CC,29.0,19.66,住家用,鋼筋混凝土造,84年1月12日,十四層,NULL,NULL
RPPNMLLLRHIGFCB77CC,29.0,10.08,共用部份,鋼筋混凝土造,84年1月12日,十四層,NULL,NULL
RPSNMLMLRHIGFBB08CC,24.0,64.29,住家用,鋼筋混凝土造,89年2月18日,十四層,NULL,NULL
RPSNMLMLRHIGFBB08CC,24.0,23.0,共用部份,鋼筋混凝土造,89年2月18日,十四層,NULL,NULL
RPRNMLLLRHIGFHB48CC,29.0,100.99,住家用,鋼筋混凝土造,84年1月10日,十三層,NULL,NULL
RPRNMLLLRHIGFHB48CC,29.0,34.03,共有部份,鋼筋混凝土造,84年1月10日,十三層,NULL,NULL
RPPNMLLLRHIGFHB28CC,32.0,160.8,住家用,鋼筋混凝土造,80年6月21日,七層,NULL,NULL
RPPNMLLLRHIGFHB28CC,32.0,8.89,共有部份,鋼筋混凝土造,80年6月21日,七層,NULL,NULL
RPQNMLLLRHIGFHB38CC,29.0,102.02,見其他登記事項,鋼筋混凝土造,83年8月12日,十四層,NULL,NULL
RPPNMLLLRHIGFHB28CC,32.0,44.66,防空避難室　儲藏室　停車空間,鋼筋混凝土造,80年6月21日,七層,NULL,NULL
RPQNMLLLRHIGFHB38CC,29.0,21.91,共有部份,鋼筋混凝土造,83年8月12日,十四層,NULL,NULL
RPSNMLLLRHIGFHB58CC,28.0,97.21,住家用,鋼筋混凝土造,84年4月6日,十層,NULL,NULL
RPSNMLLLRHIGFHB58CC,28.0,36.58,共有部份,鋼筋混凝土造,84年4月6日,十層,NULL,NULL
RPPNMLMLRHIGFCB87CC,31.0,89.42,住家用,鋼筋混凝土造,82年3月12日,七層,NULL,NULL
RPPNMLMLRHIGFCB87CC,31.0,21.3,共用部份,鋼筋混凝土造,82年3月12日,七層,NULL,NULL
RPQNMLMLRHIGFCB97CC,27.0,72.88,住家用,鋼筋混凝土造,85年11月8日,六層,NULL,NULL
RPQNMLMLRHIGFCB97CC,27.0,24.44,共用部份,鋼筋混凝土造,85年11月8日,六層,NULL,NULL
RPRNMLMLRHIGFCB08CC,16.0,20.1,住家用,鋼筋混凝土造,96年5月22日,十五層,NULL,NULL
RPRNMLMLRHIGFCB08CC,16.0,16.1,共用,鋼筋混凝土造,96年5月22日,十五層,NULL,NULL
RPSNMLMLRHIGFCB18CC,NULL,827.9,NULL,NULL,NULL,NULL,NULL,NULL
RPTNMLMLRHIGFCB28CC,29.0,94.37,住家用,鋼筋混凝土造,83年11月14日,七層,NULL,NULL
RPTNMLMLRHIGFCB28CC,29.0,31.29,共用部份,鋼筋混凝土造,83年11月14日,七層,NULL,NULL
RPUNMLMLRHIGFCB38CC,46.0,82.63,住家用,鋼筋混凝土造,67年3月3日,五層,NULL,NULL
RPVNMLMLRHIGFCB48CC,28.0,18.74,住家用,鋼筋混凝土造,84年4月20日,十五層,NULL,NULL
RPVNMLMLRHIGFCB48CC,28.0,8.79,共用部份,鋼筋混凝土造,84年4月20日,十五層,NULL,NULL
RPWNMLMLRHIGFCB58CC,18.0,21.09,店舖、人行道,鋼筋混凝土造,95年2月22日,十四層,NULL,NULL
RPXNMLMLRHIGFCB68CC,44.0,99.51,住家用,鋼筋混凝土造,68年10月20日,五層,NULL,NULL
RPTNMLMLRHIGFBB18CC,10.0,62.26,住家用,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPTNMLMLRHIGFBB18CC,10.0,16.64,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPTNMLMLRHIGFBB18CC,10.0,40.58,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPWNMLMLRHIGFBB48CC,17.0,90.2,辦公室,鋼筋混凝土造,95年5月19日,十一層,NULL,NULL
RPWNMLMLRHIGFBB48CC,17.0,37.2,共用部份,鋼筋混凝土造,95年5月19日,十一層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,20.94,住家用,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,6.22,共有部份,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,6.48,共有部份,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,0.0,共有部份,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
RPUNMLMLRHIGFBB28CC,10.0,66.04,住家用,鋼筋混凝土造,102年7月25日,二十二層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,0.19,共有部份,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
RPVNMLMLRHIGFBB38CC,28.0,0.0,共有部份,鋼筋混凝土造,84年5月26日,十六層,NULL,NULL
